,league,season,fthg,ftag,odd_h,odd_d,odd_a,num of events type 1 for size 1,num of events type 2 for size 1,num of events type 3 for size 1,num of events type 4 for size 1,num of events type 5 for size 1,num of events type 6 for size 1,num of events type 7 for size 1,num of events type 8 for size 1,num of events type 9 for size 1,num of events type 10 for size 1,num of events type 11 for size 1,num of events type 12 for size 1,num of events type 13 for size 1,num of events type 14 for size 1,num of events type 15 for size 1
220,F1,2012,1,1,2.06,3.3,4.59,-3,4,-11,-1,0,0,0,11,-1,-2,0,-1,-1,0,0
221,F1,2012,1,1,2.64,3.07,3.35,8,7,-8,0,0,0,0,8,-1,0,0,5,-1,0,0
222,I1,2012,3,2,2.25,3.3,3.9,-4,-4,2,2,0,0,0,0,2,1,0,-3,2,0,0
223,SP1,2012,4,0,1.42,5.09,9.6,17,9,0,-2,0,0,0,-1,4,-1,0,14,4,0,1
224,I1,2012,1,2,3.55,3.36,2.35,-2,1,-1,2,0,0,0,2,-5,0,1,-5,-5,0,0
225,F1,2012,1,3,4.19,3.41,2.12,9,8,2,-2,0,0,0,-1,6,-2,0,10,6,-1,0
226,I1,2012,1,1,1.72,3.8,6.49,14,-1,-1,2,0,0,1,1,-3,-1,0,11,-3,0,0
227,SP1,2012,0,0,17.72,8.6,1.2,-11,-8,-1,2,0,0,0,0,0,2,0,-7,0,0,0
228,I1,2012,1,1,1.32,5.58,14.2,5,7,-3,0,0,0,0,3,4,0,0,5,4,1,0
229,F1,2012,2,0,1.44,4.9,10.3,19,4,-1,-3,0,0,0,2,-4,-1,0,19,-4,-1,0
230,SP1,2012,1,0,1.68,4.09,6.2,5,0,-7,-2,0,0,0,7,-1,4,0,-3,-1,0,0
231,I1,2012,1,0,3.2,3.1,2.74,1,1,11,0,0,0,0,-11,3,-1,0,1,3,0,0
