id_odsp,league,season,fthg,ftag,odd_h,odd_d,odd_a
hC7urT7I/,F1,2012,1,1,1.7,3.75,6.8
I76xqoNb/,D1,2012,0,0,2.9,3.62,2.7
j1Ij9qsF/,SP1,2012,1,1,2.29,3.6,3.51
jBwbcLCa/,E0,2012,1,2,5.2,3.75,1.81
jkvGo2EA/,F1,2012,1,1,3.36,3.2,2.56
KSMfUo85/,D1,2012,3,0,1.32,6,12
M9nakpFo/,F1,2012,0,3,2.7,3.35,2.98
MXdukFe0/,SP1,2012,6,2,1.14,10.19,26.84
OWJGt0SI/,E0,2012,2,0,1.51,4.8,8.19
ptLCstDC/,E0,2012,2,1,1.39,5.09,10.28
reN9Wzo9/,E0,2012,4,1,1.22,7.2,19.98
UwhMdBhq/,I1,2012,1,3,4.59,3.35,2.04
vH7YqR7h/,D1,2012,1,0,2.24,3.6,3.6
vTglm2Ke/,SP1,2012,5,0,1.23,8.22,14
Wj8Up7hn/,D1,2012,1,0,1.88,3.95,4.73
x4HaT5NB/,D1,2012,4,2,1.49,5.09,7.5
xECinMZ1/,SP1,2012,1,0,2.25,3.5,3.82
0xDw0NSt/,E0,2012,1,1,2.14,3.35,4.09
255TfkNe/,I1,2012,1,1,4.3,3.25,2.18
8UjQeV7k/,I1,2012,0,0,2.6,3.36,3.16
d44qlr5k/,SP1,2012,0,0,2.14,3.4,4.12
fZOsB5C2/,SP1,2012,1,1,2.38,3.35,3.45
GfG3SPxI/,D1,2012,2,1,1.96,4,4.2
h09Qomwt/,D1,2012,2,0,3.4,3.85,2.22
Iyt8mOqb/,F1,2012,1,1,1.76,3.65,6
lpS4bOTm/,I1,2012,3,0,1.85,3.6,5.4
nJ6OIhF2/,I1,2012,0,0,1.78,3.9,5.3
OdFg1ipS/,I1,2012,2,1,2,3.3,5.03
OWJSpVNa/,F1,2012,4,1,2.08,3.35,4.4
SQuKiHBs/,SP1,2012,0,0,3.55,3.6,2.25
td4Xg9x2/,I1,2012,2,1,2.7,3.24,3.1
v97zjetf/,SP1,2012,3,1,2.18,3.35,4
W8Xaa4Es/,I1,2012,0,1,3.05,3.35,2.64
WdJWqkw6/,F1,2012,1,1,1.78,3.56,6
YPNoAPR8/,SP1,2012,2,1,2.24,3.46,3.7
fezB43KP/,E0,2012,2,1,2.5,3.4,3.25
MmuOjyRm/,SP1,2012,1,0,2.4,3.53,3.3
SAFObQMo/,D1,2012,0,2,3.1,3.5,2.5
0QMR0fJi/,E0,2012,2,0,1.18,9.19,20.73
0Wesr5x5/,D1,2012,4,0,1.28,6.49,14.62
2ynI4fem/,SP1,2012,3,2,1.62,4.22,6.6
8KNWd4ib/,D1,2012,3,0,1.88,4.11,4.47
8tH6vNyU/,D1,2012,3,3,1.96,3.7,4.4
